,Titles,Description,Links,Dates
58,Email Sender - ASP.NET MVC + LINQ project,"
       This web application is used to send emails to students of batches.
     ",http://www.srikanthtechnologies.com/aspnet/projects/emailsender.html,"Thu, 19 Feb 2015 12:00:00"
59,Oracle HR Schema Queries and PL/SQL programs,"
     Here is a list of SQL Queries and PL/SQL programs related to tables in HR schema in Oracle Database.
     ",http://www.srikanthtechnologies.com/oracle/hrschema.html,"Sun, 18 Jan 2015 12:00:00"
60,Looking back at 2014,"
         Here is a summary of events in my life in 2014.
         ",http://www.srikanthtechnologies.com/blog/personal/lookback2014.aspx,"Mon, 5 Jan 2015 12:00:00"
61,Streams in Java8,"
       In this blog I explained how to work with Streams introduced in Java8.
     ",http://www.srikanthtechnologies.com/blog/java/streams.aspx,"Mon, 5 Jan 2015 12:00:00"
62,Lyrics.Com - ASP.NET MVC + LINQ project,"
     This web application allows users to store and manage lyrics on web.
     ",http://www.srikanthtechnologies.com/aspnet/projects/lyrics.html,"Sun, 7 Dec 2014 12:00:00"
63,MyCalendar.Com developed using Struts2 + Hibernate,"
     This website allows users to store information about events.
     ",http://www.srikanthtechnologies.com/javaee/projects/mycalendar.html,"Wed, 29 Oct 2014 12:00:00"
64,Students Tracker - ASP.NET MVC + Entity Framework Project,"
     Students Tracker allows an Institute to keep tracke of its courses and students.
     ",http://www.srikanthtechnologies.com/aspnet/projects/studentstracker.html,"Thu, 18 Sep 2014 12:00:00"
65,Lambda Expressions,"
     This blog explains how to use Lambda Expressions that are introduced in Java 8.
     ",http://www.srikanthtechnologies.com/blog/java/lambda_expressions.aspx,"Sun, 14 Sep 2014 12:00:00"
66,Books I Recommend,"
     This web applications allows users to store and track bank accounts and transactions related to those accounts. 
     ",http://www.srikanthtechnologies.com/blog/personal/books_i_recommend.aspx,"Sun, 24 Aug 2014 12:00:00"
67,Bank Accounts Tracker,"
     This web applications allows users to store and track bank accounts and transactions realted to those accounts. 
     ",http://www.srikanthtechnologies.com/aspnet/projects/bankaccounts.html,"Sat, 12 Jul 2014 12:00:00"
68,Introducing Online Live Virtual Classroom Training,"
     We are introducing Online Live Virtual Classroom Training on JavaScript. 
     ",http://www.srikanthtechnologies.com/js/syllabus.aspx,"Fri, 11 Jul 2014 12:00:00"
69,Contacts Web API with jQuery Client,"
     This blog shows how to access a Web API through Ajax using jQuery.  
     ",http://www.srikanthtechnologies.com/blog/dotnet/contacts_webapi.aspx,"Mon, 7 Jul 2014 12:00:00"
70,YourNotes.Com developed using JSF 2.2 + Hibernate,"
     This website allows users to store important information (known as notes) online. 
     ",http://www.srikanthtechnologies.com/javaee/projects/yournotes.html,"Fri, 20 Jun 2014 12:00:00"
71,New Date and Time API in Java8,"
     This blog explains how to use new Date and Time API introduced in Java8.
     ",http://www.srikanthtechnologies.com/blog/java/java8_newdate.aspx,"Tue, 10 Jun 2014 12:00:00"
72,Srikanth Pragada's C Language for beginners is now available,"
     C Language for beginners is a book written and published by Srikanth Pragada.  It provides all a comprehensive coverage of all topics of ANSI C.
     ",http://www.srikanthtechnologies.com/books/cbook.aspx,"Tue, 3 Jun 2014 12:00:00"
73,"How to use Quincy 2005 to write, compile and run C programs","
     Quincy 2005 is an open source IDE for C/C++ on Windows. Learn how to download, install and  use it. 
     ",http://www.srikanthtechnologies.com/books/cbook_2014/quincy_2005.aspx,"Tue, 3 Jun 2014 12:00:00"
74,MyAccounts.com developed using ASP.NET MVC 4 + LINQ,"
     This web application allows users to stored information about their accounts of other websites.
     ",http://www.srikanthtechnologies.com/aspnet/projects/myaccounts.html,"Thu, 8 May 2014 12:00:00"
75,Students Information System (SIS) developed using ASP.NET MVC 4 + LINQ,"
     This web application allows parents to get information about their children in School.
     ",http://www.srikanthtechnologies.com/aspnet/projects/sis.html,"Fri, 7 Feb 2014 12:00:00"
76,Looking back at 2013,"
     My blog regarding important events in 2013.
     ",http://www.srikanthtechnologies.com/blog/personal/lookback2013.aspx,"Wed, 1 Jan 2014 12:00:00"
